CATÉGORIE,AGGLOMÉRATION DE MONTRÉAL,Montréal,Ahuntsic-Cartierville,Anjou,Côte-des-Neiges–Notre-Dame-de-Grâce,Lachine,LaSalle,Plateau-Mont-Royal,Sud-Ouest,LÎle-Bizard-Sainte-Geneviève,Mercier–Hochelaga-Maisonneuve,Montréal-Nord,Outremont,Pierrefonds-Roxboro,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite-Patrie,Saint-Laurent,Saint-Léonard,Verdun,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Baie-DUrfé,Beaconsfield,Côte-Saint-Luc,Dollard-Des Ormeaux,Dorval,Hampstead,Kirkland,Montréal-Est,Montréal-Ouest,Mont-Royal,Pointe-Claire,Sainte-Anne-de-Bellevue,Senneville,Westmount
Tranches de revenu total en 2020 pour la population âgée de 15 ans et plus dans les ménages privés,"1,650,115","1,453,280","108,115","34,560","141,830","36,925","67,280","92,075","71,735","15,080","116,520","68,555","18,035","57,575","88,065","119,290","81,145","62,085","59,040","94,865","120,490","3,150","15,570","27,680","40,040","16,375","5,645","16,170","3,545","4,155","16,430","26,680","4,090",820,"16,450"
  Sans revenu total,"65,025","57,175","3,920","1,165","7,290","1,290","2,580","3,930","2,260",555,"3,270","2,960",875,"2,485","2,835","3,135","3,900","2,445","1,620","5,780","4,875",180,750,940,"1,660",460,195,690,90,145,775,"1,010",170,40,735
  Ayant un revenu total,"1,585,095","1,396,100","104,195","33,395","134,540","35,640","64,705","88,145","69,475","14,520","113,250","65,590","17,160","55,095","85,235","116,155","77,240","59,640","57,420","89,085","115,620","2,980","14,820","26,740","38,380","15,915","5,450","15,480","3,460","4,005","15,660","25,665","3,915",785,"15,715"
    Moins de 10 000 $ (comprend les pertes),"138,245","120,165","8,570","2,415","14,575","2,650","5,605","8,290","5,455","1,220","7,620","5,605","1,630","5,185","5,690","7,495","8,120","4,870","4,045","10,845","10,280",335,"1,585","2,500","3,370","1,250",670,"1,585",215,390,"1,730","2,205",355,90,"1,790"
    10 000 $ à 19 999 $,"200,450","179,185","13,435","3,945","19,115","4,500","8,820","10,560","8,450","1,690","13,545","9,595","1,790","6,965","10,335","12,645","10,885","7,955","6,215","11,500","17,230",350,"1,630","3,210","4,830","1,695",535,"1,840",390,415,"1,595","2,785",475,85,"1,425"
    20 000 $ à 29 999 $,"286,825","259,700","19,080","6,105","26,445","6,180","12,275","15,370","12,035","2,105","20,945","14,675","2,130","9,225","15,340","20,730","14,155","12,540","9,145","15,755","25,465",340,"1,615","4,775","6,410","2,380",595,"1,990",610,445,"1,860","3,665",560,95,"1,775"
    30 000 $ à 39 999 $,"215,460","194,585","14,270","4,820","19,555","4,995","9,625","10,980","8,770","1,740","16,640","11,100","1,565","7,360","11,820","15,805","10,200","9,415","7,130","10,520","18,285",240,"1,250","3,480","4,945","2,110",475,"1,540",555,335,"1,325","2,890",495,50,"1,195"
    40 000 $ à 49 999 $,"181,500","163,390","12,285","4,440","14,495","4,500","8,305","8,805","7,410","1,615","14,725","9,140","1,420","6,585","11,400","13,760","8,200","7,855","6,505","8,180","13,770",205,"1,100","2,920","4,285","1,825",395,"1,320",510,310,"1,100","2,665",385,50,"1,045"
    50 000 $ à 59 999 $,"138,185","123,120","9,250","3,590","9,965","3,330","6,100","7,130","5,940","1,320","11,380","6,050","1,195","5,025","9,065","11,095","6,055","5,530","5,230","6,465","9,415",200,"1,035","2,130","3,310","1,550",345,"1,200",385,270,990,"2,245",355,55,995
    60 000 $ à 69 999 $,"100,065","88,460","6,735","2,455","6,885","2,430","4,215","5,450","4,615",965,"8,095","3,620",995,"3,680","6,625","8,280","4,360","3,575","4,110","5,175","6,190",170,810,"1,600","2,420","1,195",240,950,280,260,820,"1,805",270,45,745
    70 000 $ à 79 999 $,"74,170","64,820","4,930","1,585","4,925","1,715","2,945","4,525","3,665",740,"5,965","2,210",905,"2,650","4,395","6,310","3,140","2,450","3,200","4,150","4,405",150,810,"1,180","1,850",905,240,790,180,205,720,"1,450",185,45,650
    80 000 $ à 89 999 $,"58,400","50,640","3,930","1,190","3,995","1,435","2,015","3,755","3,055",645,"4,440","1,370",730,"2,015","3,430","5,265","2,535","1,640","2,665","3,350","3,180",125,755,875,"1,480",710,170,695,120,165,600,"1,290",145,40,585
    90 000 $ à 99 999 $,"42,240","36,065","2,785",790,"2,975","1,010","1,400","2,875","2,215",485,"3,020",765,585,"1,595","2,200","3,830","1,970","1,120","1,820","2,460","2,150",115,540,755,"1,155",535,150,550,65,180,520,960,145,25,490
    100 000 $ et plus,"149,560","115,975","8,935","2,070","11,610","2,900","3,395","10,385","7,865","1,990","6,880","1,455","4,220","4,805","4,935","10,940","7,625","2,690","7,355","10,675","5,250",745,"3,695","3,325","4,330","1,760","1,630","3,020",150,"1,040","4,400","3,705",545,210,"5,015"
      100 000 $ à 149 999 $,"90,980","74,835","5,850","1,490","6,485","2,050","2,500","6,485","5,045","1,165","5,415","1,160","1,820","3,280","3,825","7,730","4,620","1,895","4,285","5,830","3,890",290,"1,720","1,705","2,670","1,105",525,"1,620",120,450,"1,615","2,315",320,90,"1,605"
      150 000 $ et plus,"58,580","41,145","3,085",575,"5,125",850,900,"3,895","2,825",825,"1,460",300,"2,400","1,520","1,110","3,210","3,000",790,"3,070","4,840","1,365",455,"1,975","1,620","1,660",655,"1,105","1,405",35,590,"2,790","1,385",220,115,"3,415"
  Revenu total médian en 2020 parmi les bénéficiaires ($),"37,600","36,800","37,600","38,800","33,200","38,800","35,600","38,800","40,000","42,800","38,800","32,400","50,400","38,400","39,600","40,800","35,200","34,400","43,200","35,600","32,400","50,800","52,000","38,000","39,200","42,400","51,600","45,600","39,200","54,400","52,000","44,800","41,600","53,200","56,000"
